prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
type-scales:report-technical-print-h3:1,type-scales,report-technical-print-h3,convention,,,,,2026-09-23,
type-scales:report-technical-print-h2:1,type-scales,report-technical-print-h2,convention,,,,,2026-09-23,
type-scales:report-technical-print-h1:1,type-scales,report-technical-print-h1,convention,,,,,2026-09-23,
type-scales:form-print-print-h1:1,type-scales,form-print-print-h1,convention,,,,,2026-09-23,
